time,Open,High,Low,Close,Volume
2021-01-01,0.0000522266,0.0000634050,0.0000520543,0.0000634050,1125773.5400000000
2021-01-02,0.0000634013,0.0000634013,0.0000544718,0.0000544718,1060347.3500000001
2021-01-03,0.0000544607,0.0000806897,0.0000544607,0.0000666976,1475936.6299999999
2021-01-04,0.0000666995,0.0000799104,0.0000666995,0.0000799104,1543191.0500000000
2021-01-05,0.0000798922,0.0000798922,0.0000644801,0.0000644801,1246011.6599999999
2021-01-06,0.0000644179,0.0000732455,0.0000544591,0.0000544591,1235109.6100000001
2021-01-07,0.0000553927,0.0000656396,0.0000553927,0.0000606086,1657680.1200000001
2021-01-08,0.0000606566,0.0000908333,0.0000595876,0.0000807280,2032046.0300000000
2021-01-09,0.0000807495,0.0000888642,0.0000758069,0.0000830122,938188.8600000000
2021-01-10,0.0000830077,0.0000911548,0.0000830077,0.0000911548,662473.9600000000
2021-01-11,0.0000911548,0.0000958867,0.0000858858,0.0000958867,1187947.4500000000
2021-01-12,0.0000958034,0.0001069619,0.0000958034,0.0001067036,1005517.8400000000
2021-01-13,0.0001066590,0.0001162953,0.0001009349,0.0001021426,676796.9600000000
2021-01-14,0.0001021610,0.0001021610,0.0000846383,0.0000846383,691711.5400000000
2021-01-15,0.0000846383,0.0000915680,0.0000846383,0.0000915680,574281.9100000000
2021-01-16,0.0000915365,0.0000974855,0.0000915365,0.0000944921,463418.9400000000
2021-01-17,0.0000944475,0.0001085548,0.0000944475,0.0001071749,697433.4399999999
2021-01-18,0.0001071749,0.0001108949,0.0001041180,0.0001060969,854065.3600000000
2021-01-19,0.0001061369,0.0001079876,0.0000997340,0.0000997340,840275.3700000000
2021-01-20,0.0000997340,0.0001059581,0.0000997340,0.0001059581,712145.7300000000
2021-01-21,0.0001059317,0.0001059317,0.0000944148,0.0000944148,703791.9800000000
2021-01-22,0.0000944148,0.0001050026,0.0000894444,0.0000998327,826775.7600000000
2021-01-23,0.0000998327,0.0001092123,0.0000998327,0.0001092123,470767.6100000000
2021-01-24,0.0001092122,0.0001147971,0.0001092122,0.0001144112,661113.6700000000
2021-01-25,0.0001143768,0.0001143768,0.0001098690,0.0001098690,794632.0000000000
2021-01-26,0.0001099881,0.0001248526,0.0001099881,0.0001248526,1000392.8199999999
2021-01-27,0.0001248928,0.0001248928,0.0001207870,0.0001242456,331130.3100000000
2021-01-28,0.0001241752,0.0001241752,0.0001176596,0.0001176596,344118.7800000000
2021-01-29,0.0001166222,0.0001166222,0.0001087927,0.0001087927,655289.9100000000
2021-01-30,0.0001089684,0.0001227474,0.0001089684,0.0001227474,771726.5900000000
2021-01-31,0.0001227474,0.0001377011,0.0001227474,0.0001312193,1439455.3700000001
2021-02-01,0.0001312131,0.0001368219,0.0001266198,0.0001368219,437158.4900000000
2021-02-02,0.0001368455,0.0001512085,0.0001338850,0.0001488065,1033097.8500000000
2021-02-03,0.0001488080,0.0001551284,0.0001441634,0.0001542533,1034840.3500000000
2021-02-04,0.0001541901,0.0001727151,0.0001541537,0.0001727151,860541.0800000000
2021-02-05,0.0001727151,0.0001857419,0.0001727151,0.0001787630,854836.9100000000
2021-02-06,0.0001787630,0.0001787630,0.0001512831,0.0001512831,764218.5400000000
2021-02-07,0.0001511263,0.0001745598,0.0001511263,0.0001745598,616638.2900000000
2021-02-08,0.0001745506,0.0001845418,0.0001717924,0.0001845418,574707.5600000001
2021-02-09,0.0001845826,0.0001845826,0.0001669332,0.0001669332,863891.5000000000
2021-02-10,0.0001669332,0.0002008898,0.0001669332,0.0002008898,578521.8300000000
2021-02-11,0.0002008219,0.0002008219,0.0001935790,0.0001935790,834063.8400000000
2021-02-12,0.0001935790,0.0002021429,0.0001935790,0.0001950020,350351.4900000000
2021-02-13,0.0001949988,0.0001974077,0.0001869362,0.0001869362,457473.2700000000
2021-02-14,0.0001869624,0.0001869624,0.0001790242,0.0001790242,722328.4900000000
2021-02-15,0.0001789657,0.0001886103,0.0001692267,0.0001828861,570407.0900000000
2021-02-16,0.0001827213,0.0001827213,0.0001695934,0.0001705475,417433.5700000000
2021-02-17,0.0001705293,0.0001705293,0.0001564638,0.0001600509,366103.6300000000
2021-02-18,0.0001600508,0.0001764438,0.0001600508,0.0001731081,391615.5800000000
2021-02-19,0.0001731081,0.0002080800,0.0001691182,0.0002076117,981582.6899999999
2021-02-20,0.0002074006,0.0002090218,0.0001749796,0.0001749796,584433.9900000000
2021-02-21,0.0001749432,0.0002007742,0.0001749432,0.0001910890,589611.0200000000
2021-02-22,0.0001910437,0.0002706601,0.0001910437,0.0002706601,2204776.1000000001
2021-02-23,0.0002707041,0.0003245499,0.0002602255,0.0003245499,2409768.3500000001
2021-02-24,0.0003249228,0.0003527045,0.0003109931,0.0003492656,1327825.5800000001
2021-02-25,0.0003492309,0.0003492309,0.0002782188,0.0002782188,1300050.6000000001
2021-02-26,0.0002785770,0.0003102000,0.0002785770,0.0002874707,1041147.0500000000
2021-02-27,0.0002874707,0.0003055909,0.0002796401,0.0002796401,568624.3900000000
2021-02-28,0.0002797336,0.0002989154,0.0002663815,0.0002989154,1294846.9700000000
2021-03-01,0.0002988006,0.0003245076,0.0002988006,0.0003086480,870671.5400000000
2021-03-02,0.0003087707,0.0003087707,0.0002851759,0.0002931118,558524.7700000000
2021-03-03,0.0002931526,0.0002931526,0.0002755586,0.0002755586,561517.1400000000
2021-03-04,0.0002755681,0.0002755681,0.0002683080,0.0002749860,452931.6200000000
2021-03-05,0.0002747899,0.0002747899,0.0002591848,0.0002591848,442876.3000000000
2021-03-06,0.0002591553,0.0002694518,0.0002527490,0.0002694518,482722.3400000000
2021-03-07,0.0002695359,0.0002747959,0.0002635409,0.0002747959,337355.9000000000
2021-03-08,0.0002747494,0.0002747494,0.0002652231,0.0002687371,376503.2500000000
2021-03-09,0.0002686678,0.0002753888,0.0002619757,0.0002753888,572308.7000000000
2021-03-10,0.0002754748,0.0002754748,0.0002501443,0.0002501443,722236.3800000000
2021-03-11,0.0002501443,0.0002825231,0.0002501443,0.0002783133,943467.9600000000
2021-03-12,0.0002782576,0.0002835477,0.0002541690,0.0002541690,671884.4300000001
2021-03-13,0.0002542145,0.0002585811,0.0002480343,0.0002535865,751813.2700000000
2021-03-14,0.0002535515,0.0002535515,0.0002416791,0.0002416791,389263.0900000000
2021-03-15,0.0002410910,0.0002500355,0.0002403079,0.0002500355,1183331.4800000000
2021-03-16,0.0002500358,0.0002507912,0.0002445680,0.0002445680,540758.2300000000
2021-03-17,0.0002446603,0.0002562706,0.0002446603,0.0002455555,1377046.6399999999
2021-03-18,0.0002455551,0.0002482983,0.0002387280,0.0002482983,980687.4100000000
2021-03-19,0.0002482213,0.0002482213,0.0002401296,0.0002401296,765715.3300000000
2021-03-20,0.0002401502,0.0002493454,0.0002389277,0.0002389277,251538.7700000000
2021-03-21,0.0002388272,0.0002488546,0.0002388272,0.0002488546,386272.7800000000
2021-03-22,0.0002489069,0.0002846304,0.0002489069,0.0002663986,1251742.8300000001
2021-03-23,0.0002666547,0.0002715179,0.0002574123,0.0002574123,701660.0600000001
2021-03-24,0.0002574427,0.0002681475,0.0002484298,0.0002484298,569705.8400000000
2021-03-25,0.0002484298,0.0002500750,0.0002484298,0.0002491183,648059.4100000000
2021-03-26,0.0002489290,0.0002741999,0.0002399295,0.0002741999,697918.9900000000
2021-03-27,0.0002742792,0.0002986905,0.0002738047,0.0002949361,1124818.3700000001
2021-03-28,0.0002946825,0.0003415296,0.0002946825,0.0003273675,1299090.7400000000
2021-03-29,0.0003274309,0.0003280982,0.0003227238,0.0003280982,905815.0699999999
2021-03-30,0.0003280982,0.0003512455,0.0003230777,0.0003230777,968151.1000000000
2021-03-31,0.0003230777,0.0003314991,0.0003184430,0.0003314991,791646.4500000000
2021-04-01,0.0003313927,0.0003489662,0.0003232599,0.0003232599,900981.6500000000
2021-04-02,0.0003231084,0.0003358544,0.0003173653,0.0003358544,581004.8700000000
2021-04-03,0.0003358544,0.0003979841,0.0003358544,0.0003826968,2369795.4700000002
2021-04-04,0.0003830119,0.0004357528,0.0003830119,0.0004107366,1419407.3899999999
2021-04-05,0.0004107106,0.0004176788,0.0003894758,0.0003894758,1149970.7800000000
2021-04-06,0.0003892288,0.0004306694,0.0003820610,0.0004306694,1246621.9099999999
2021-04-07,0.0004306694,0.0004728506,0.0004143074,0.0004728506,2453668.7599999998
2021-04-08,0.0004732867,0.0004805188,0.0004606648,0.0004674196,1255045.0500000000
2021-04-09,0.0004675293,0.0004921018,0.0004670106,0.0004740195,942740.9800000000
2021-04-10,0.0004739864,0.0004739864,0.0004486456,0.0004497157,1004785.4600000000
2021-04-11,0.0004498046,0.0004714976,0.0004380428,0.0004673051,598627.1600000000
2021-04-12,0.0004672126,0.0004876331,0.0004516425,0.0004746861,1053778.6799999999
2021-04-13,0.0004746482,0.0004746482,0.0004358827,0.0004358827,960314.6500000000
2021-04-14,0.0004358896,0.0004358896,0.0004027590,0.0004250113,1761317.2900000000
2021-04-15,0.0004250015,0.0004434387,0.0004121041,0.0004379068,1051879.8899999999
2021-04-16,0.0004377604,0.0004420928,0.0004095502,0.0004095502,1174847.2300000000
2021-04-17,0.0004094467,0.0004275001,0.0004091807,0.0004091807,811164.2300000000
2021-04-18,0.0004091142,0.0005799466,0.0004082174,0.0005799466,4449242.5499999998
2021-04-19,0.0005799920,0.0006244686,0.0005525974,0.0005636527,3603042.4100000001
2021-04-20,0.0005636527,0.0005746709,0.0005374532,0.0005609180,3506244.7700000000
2021-04-21,0.0005609181,0.0006136312,0.0005556578,0.0005875543,2932890.5899999999
2021-04-22,0.0005876092,0.0007339894,0.0005876092,0.0007339894,4871861.7699999996
2021-04-23,0.0007344838,0.0007775665,0.0006615498,0.0007304483,5024183.7800000003
2021-04-24,0.0007300426,0.0008491857,0.0007121253,0.0008046589,2503857.8999999999
2021-04-25,0.0008045411,0.0009630802,0.0008045411,0.0009630802,2767776.2000000002
2021-04-26,0.0009639686,0.0009639686,0.0008125519,0.0008125519,2026165.9800000000
2021-04-27,0.0008125381,0.0008412087,0.0007887504,0.0007887504,1965346.8100000001
2021-04-28,0.0007887422,0.0008405325,0.0007570874,0.0008086665,2259715.5099999998
2021-04-29,0.0008084079,0.0008157522,0.0007770689,0.0008045256,2012003.3899999999
2021-04-30,0.0008044563,0.0008044563,0.0007508133,0.0007508133,1810908.7200000000
2021-05-01,0.0007508878,0.0008574502,0.0007443787,0.0008574502,1698768.5700000001
2021-05-02,0.0008573698,0.0008607023,0.0008210185,0.0008245939,1109105.0100000000
2021-05-03,0.0008241866,0.0008352542,0.0007952160,0.0007997944,1986200.2600000000
2021-05-04,0.0008003840,0.0008306263,0.0007810361,0.0007810361,2116686.2799999998
2021-05-05,0.0007809028,0.0008004951,0.0007809028,0.0007865524,1564779.6899999999
2021-05-06,0.0007868189,0.0007868189,0.0007709422,0.0007744630,1333292.0800000001
2021-05-07,0.0007743331,0.0007869760,0.0007495451,0.0007495451,1671360.8000000000
2021-05-08,0.0007496079,0.0007851969,0.0007464789,0.0007731219,1325794.5300000000
2021-05-09,0.0007738560,0.0007915823,0.0007645407,0.0007732844,1370324.9399999999
2021-05-10,0.0007733835,0.0007733835,0.0007028959,0.0007709869,1796659.1799999999
2021-05-11,0.0007709869,0.0007931023,0.0007413084,0.0007868895,1727664.4600000000
2021-05-12,0.0007869650,0.0008464139,0.0007752778,0.0007879437,3452771.3399999999
2021-05-13,0.0007883260,0.0008445012,0.0007883260,0.0008445012,3001169.4600000000
2021-05-14,0.0008443276,0.0008723726,0.0008254057,0.0008524178,1144005.6200000001
2021-05-15,0.0008523743,0.0009040724,0.0008403917,0.0009040724,1229205.1399999999
2021-05-16,0.0009026124,0.0010528112,0.0009026124,0.0010285401,3991040.3599999999
2021-05-17,0.0010286141,0.0011127903,0.0010256532,0.0010548103,4186321.8100000001
2021-05-18,0.0010545945,0.0012929132,0.0010545945,0.0012929132,3375122.2900000000
2021-05-19,0.0012932534,0.0013208222,0.0008871309,0.0008871309,8330583.3300000001
2021-05-20,0.0008870129,0.0011604651,0.0008870129,0.0011045806,6470223.8700000001
2021-05-21,0.0011042379,0.0011284251,0.0009465541,0.0010780012,4546336.1600000001
2021-05-22,0.0010780012,0.0010780012,0.0008368308,0.0008368308,2782363.8700000001
2021-05-23,0.0008376376,0.0008429056,0.0006168938,0.0007410567,9023107.0299999993
2021-05-24,0.0007403584,0.0008090857,0.0007403584,0.0007933597,4401095.2000000002
2021-05-25,0.0007925710,0.0008297500,0.0007123114,0.0008050159,3115883.6899999999
2021-05-26,0.0008050159,0.0009197453,0.0007747512,0.0009197453,2946675.6600000001
2021-05-27,0.0009198995,0.0009198995,0.0008365379,0.0008681761,2422605.7000000002
2021-05-28,0.0008683006,0.0008806631,0.0007964031,0.0008099975,2392944.4500000002
2021-05-29,0.0008099170,0.0008099170,0.0007646360,0.0008041753,1612794.2200000000
2021-05-30,0.0008043840,0.0008149631,0.0007670905,0.0007921893,1183915.9800000000
2021-05-31,0.0007921893,0.0008881628,0.0007921893,0.0008881628,1932934.2400000000
2021-06-01,0.0008882597,0.0008882597,0.0008364150,0.0008614028,1470365.5800000001
2021-06-02,0.0008604999,0.0009143592,0.0008482116,0.0008966759,1456207.7900000000
2021-06-03,0.0008979457,0.0010460876,0.0008979457,0.0010249172,2431659.9600000000
2021-06-04,0.0010254972,0.0010254972,0.0009629906,0.0010158805,2708196.5800000001
2021-06-05,0.0010160722,0.0011271377,0.0010160722,0.0011114271,2655943.6499999999
2021-06-06,0.0011114271,0.0011892443,0.0011114271,0.0011808432,1658051.6200000001
2021-06-07,0.0011818902,0.0012005444,0.0010738029,0.0010738029,1985345.2500000000
2021-06-08,0.0010743433,0.0012536072,0.0010743433,0.0012536072,4498051.5400000000
2021-06-09,0.0012536792,0.0012536792,0.0011581141,0.0011581141,2405134.9600000000
2021-06-10,0.0011581141,0.0011581141,0.0010946121,0.0011194300,1116008.1100000001
2021-06-11,0.0011194300,0.0011194300,0.0009707837,0.0009707837,1477694.4900000000
2021-06-12,0.0009709655,0.0010205420,0.0009709655,0.0010205420,1256201.4299999999
2021-06-13,0.0010193310,0.0010431124,0.0009984504,0.0010271791,940217.4800000000
2021-06-14,0.0010270557,0.0010270557,0.0009738962,0.0010005829,1103400.5200000000
2021-06-15,0.0010005829,0.0010091537,0.0009892228,0.0009892228,1147151.1899999999
2021-06-16,0.0009895694,0.0010257590,0.0009777476,0.0010243518,1311730.2000000000
2021-06-17,0.0010245788,0.0010418918,0.0010186087,0.0010403183,1031647.8100000001
2021-06-18,0.0010407904,0.0010411576,0.0009944889,0.0010411576,1030622.3700000000
2021-06-19,0.0010418015,0.0010418015,0.0009790188,0.0009790188,661474.5200000000
2021-06-20,0.0009790815,0.0009926203,0.0009370969,0.0009926203,1449187.0700000001
2021-06-21,0.0009926191,0.0009926191,0.0007608833,0.0008176645,3244335.2999999998
2021-06-22,0.0008179016,0.0008638531,0.0007076923,0.0008324768,5381171.5400000000
2021-06-23,0.0008323392,0.0009405714,0.0008114707,0.0009374231,3249264.8199999998
2021-06-24,0.0009374484,0.0009374484,0.0008819606,0.0008944657,1866038.0000000000
2021-06-25,0.0008943010,0.0009282821,0.0008874319,0.0008874319,2175304.6699999999
2021-06-26,0.0008886690,0.0009390920,0.0008878831,0.0009390920,1435240.2800000000
2021-06-27,0.0009391877,0.0009708217,0.0009391877,0.0009708217,953135.2900000000
2021-06-28,0.0009713881,0.0009713881,0.0009560297,0.0009576557,958431.2100000000
2021-06-29,0.0009575259,0.0009791450,0.0009319501,0.0009319501,1224967.4399999999
2021-06-30,0.0009320806,0.0010215497,0.0009280644,0.0010215497,1326093.3600000001
2021-07-01,0.0010213744,0.0010213744,0.0009862120,0.0010060405,1269495.8100000001
2021-07-02,0.0010054618,0.0010192280,0.0009605490,0.0010192280,1089627.8400000001
2021-07-03,0.0010200246,0.0010200246,0.0009925433,0.0009925433,668440.2200000000
