Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-77,42,65,1958.05,1970.9678571428572,1970.9678571428572,1932.2142857142856,-1055.1818750000045,60.506875,-0.006998626549008393,2023-06-08 15:00:00,2023-06-09 15:00:00,1 days 00:00:00,ob
-90,66,117,1962.96,1941.1610714285716,1973.8294642857143,1941.1610714285716,1891.629392142842,70.2741792857143,0.010707352343981942,2023-06-09 16:00:00,2023-06-13 21:00:00,4 days 05:00:00,sweep
-209,169,179,1961.97,1964.94,1966.7723214285713,1952.3653571428574,-784.8748380000056,164.144838,-0.0019140873713666248,2023-06-16 04:00:00,2023-06-16 14:00:00,0 days 10:00:00,ob
382,181,182,1956.7,1954.0810714285715,1954.0810714285715,1961.9378571428572,-1299.214388142856,298.78367385714284,-0.0017381738568581237,2023-06-16 16:00:00,2023-06-16 17:00:00,0 days 01:00:00,ob
121,183,200,1960.25,1952.140892857143,1952.140892857143,1976.528214285714,-1075.8818238928466,94.67985960714287,-0.004535944558820856,2023-06-16 18:00:00,2023-06-19 12:00:00,2 days 18:00:00,sweep
-217,219,224,1955.03,1946.0621428571428,1959.5139285714286,1946.0621428571428,1776.7176010000028,169.307399,0.0041879862274674835,2023-06-20 10:00:00,2023-06-20 15:00:00,0 days 05:00:00,ob
-242,288,288,1913.55,1917.6632142857143,1917.6632142857143,1905.3535714285713,-1180.8285767142943,185.4307195714286,-0.002549950055431743,2023-06-23 10:00:00,2023-06-23 10:00:00,0 days 00:00:00,sweep
-243,293,294,1926.21,1930.2450000000001,1930.2450000000001,1918.1399999999999,-1167.9287130000198,187.42371300000002,-0.0024952061301726914,2023-06-23 15:00:00,2023-06-23 16:00:00,0 days 01:00:00,ob
405,426,426,1915.14,1912.7467857142858,1912.7467857142858,1919.9264285714287,-1279.3106153571462,310.0588296428572,-0.0016493789711755108,2023-07-03 10:00:00,2023-07-03 10:00:00,0 days 00:00:00,sweep
210,478,481,1922.68,1918.1119642857143,1918.1119642857143,1931.7860714285716,-1120.6007625000118,161.3132625,-0.0027753937769898576,2023-07-05 18:00:00,2023-07-05 21:00:00,0 days 03:00:00,sweep
310,498,499,1914.35,1906.34,,1920.4496428571424,-2719.982779999997,236.88278000000003,-0.004583351006869193,2023-07-06 15:00:00,2023-07-06 16:00:00,0 days 01:00:00,ob
-211,521,522,1924.33,1915.6367857142855,1928.6766071428572,1915.6367857142855,1672.2216159286115,162.04659835714284,0.004118431313013672,2023-07-07 15:00:00,2023-07-07 16:00:00,0 days 01:00:00,ob
-254,545,549,1922.96,1926.6469642857144,1926.6469642857144,1915.5860714285714,-1132.0489623571564,195.56003378571432,-0.0023177214703225244,2023-07-10 16:00:00,2023-07-10 20:00:00,0 days 04:00:00,ob
149,614,638,1957.62,1951.4405357142857,1951.4405357142857,1969.9789285714282,-1037.2301825356978,116.49000396428572,-0.0035559896163999886,2023-07-13 16:00:00,2023-07-14 17:00:00,1 days 01:00:00,sweep
88,639,659,1960.23,1949.944642857143,1949.944642857143,1980.830714285714,-973.9305022857051,68.81907371428572,-0.0056459660710368184,2023-07-14 18:00:00,2023-07-17 15:00:00,2 days 21:00:00,sweep
-364,670,671,1956.64,1959.12,1959.12,1951.6800000000005,-1187.787327999924,285.067328,-0.0016677324392834697,2023-07-18 03:00:00,2023-07-18 04:00:00,0 days 01:00:00,ob
-235,814,818,1969.05,1971.46,1972.8392857142858,1961.4714285714283,-751.5539700000193,185.20397000000003,-0.0016241852670069497,2023-07-26 09:00:00,2023-07-26 13:00:00,0 days 04:00:00,ob
145,906,912,1955.95,1949.8617857142856,1949.8617857142856,1968.126428571429,-996.0596132143106,113.26854178571429,-0.003512041025004346,2023-08-01 09:00:00,2023-08-01 15:00:00,0 days 06:00:00,ob
281,1002,1005,1933.43,1939.6500000000003,1930.32,1939.6500000000003,1530.1529040000714,217.66709600000004,0.002816437109179187,2023-08-07 13:00:00,2023-08-07 16:00:00,0 days 03:00:00,ob
255,1007,1022,1934.16,1930.6683928571429,1930.6683928571429,1941.1432142857145,-1087.4660694643053,197.10624803571432,-0.002204870756001889,2023-08-07 18:00:00,2023-08-08 10:00:00,0 days 16:00:00,sweep
168,1024,1026,1935.13,1929.8941071428571,1929.8941071428571,1945.601785714286,-1009.4948100000192,129.86481,-0.00310516486157087,2023-08-08 12:00:00,2023-08-08 14:00:00,0 days 02:00:00,sweep
-167,1045,1052,1930.54,1920.1464285714283,1935.7367857142858,1920.1464285714283,1607.1135018571888,128.61292671428572,0.00498484058494386,2023-08-09 10:00:00,2023-08-09 17:00:00,0 days 07:00:00,ob
-183,1071,1073,1922.14,1926.9591071428572,1926.9591071428572,1912.501785714286,-1022.7736344642765,140.87702732142856,-0.002907658632714512,2023-08-10 13:00:00,2023-08-10 15:00:00,0 days 02:00:00,ob
-188,1074,1075,1926.24,1916.9753571428569,1930.8873214285716,1916.9753571428569,1597.2479597143397,144.50489742857144,0.004410665226407183,2023-08-10 16:00:00,2023-08-10 17:00:00,0 days 01:00:00,sweep
-257,1189,1190,1903.26,1895.96,1906.7242857142858,1896.3314285714284,1680.8200919999883,195.27990800000003,0.0034362914157813423,2023-08-17 16:00:00,2023-08-17 17:00:00,0 days 01:00:00,ob
234,1236,1251,1889.63,1897.3875000000003,1885.75125,1897.3875000000003,1638.0225810000384,177.23241900000005,0.0037044799775618506,2023-08-21 17:00:00,2023-08-22 09:00:00,0 days 16:00:00,ob
151,1260,1280,1895.2,1907.4278571428574,1889.0860714285714,1907.4278571428574,1731.567067285749,114.83936128571429,0.006050723708014456,2023-08-22 18:00:00,2023-08-23 15:00:00,0 days 21:00:00,sweep
295,1302,1303,1916.97,1913.7785714285715,1913.7785714285715,1923.3528571428571,-1167.485594285711,226.01416571428575,-0.002064496724369284,2023-08-24 14:00:00,2023-08-24 15:00:00,0 days 01:00:00,ob
234,1304,1305,1915.17,1923.0853571428577,1911.1673214285713,1923.0853571428577,1672.563220714393,179.63035071428575,0.0037321522744346507,2023-08-24 16:00:00,2023-08-24 17:00:00,0 days 01:00:00,sweep
371,1328,1329,1904.64,1909.7435714285718,1902.0882142857142,1909.7435714285718,1610.3977390001155,283.02726100000007,0.0022790105816774863,2023-08-25 17:00:00,2023-08-25 18:00:00,0 days 01:00:00,ob
