Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag
-91,66,118,1962.96,1940.0617857142856,1973.8294642857143,1940.0617857142856,2012.7025035000106,71.0349965,0.01126747866924014,2023-06-09 16:00:00,2023-06-13 22:00:00,4 days 06:00:00,sweep
-212,169,179,1961.97,1964.94,1966.7723214285713,1940.3469285714286,-796.1409840000058,166.50098400000002,-0.0019140873713666248,2023-06-16 04:00:00,2023-06-16 14:00:00,0 days 10:00:00,ob
386,181,182,1956.7,1954.0810714285715,1954.0810714285715,1970.7904285714287,-1312.8187272857133,301.9122987142857,-0.0017381738568581237,2023-06-16 16:00:00,2023-06-16 17:00:00,0 days 01:00:00,ob
-222,219,248,1955.03,1925.0015714285714,1959.5139285714286,1925.0015714285714,6494.037741085709,172.27340177142855,0.014962646229031179,2023-06-20 10:00:00,2023-06-21 16:00:00,1 days 06:00:00,ob
-225,294,297,1935.41,1919.4641428571429,1940.1353571428572,1919.4641428571429,3414.3485207143035,173.46933642857144,0.00784065511405116,2023-06-23 16:00:00,2023-06-23 19:00:00,0 days 03:00:00,ob
-366,387,388,1909.09,1912.0880357142858,1912.0880357142858,1895.8732142857143,-1376.991303642901,279.7102322142857,-0.0019707144877552903,2023-06-29 17:00:00,2023-06-29 18:00:00,0 days 01:00:00,ob
453,426,426,1915.14,1912.7467857142858,1912.7467857142858,1930.4007142857142,-1430.9326142142893,346.8065427857143,-0.0016493789711755108,2023-07-03 10:00:00,2023-07-03 10:00:00,0 days 00:00:00,sweep
234,478,481,1922.68,1918.1119642857143,1918.1119642857143,1934.6587857142856,-1248.6694210714418,179.74906392857145,-0.0027753937769898576,2023-07-05 18:00:00,2023-07-05 21:00:00,0 days 03:00:00,sweep
346,498,499,1914.35,1906.34,,1934.7980714285713,-3035.851747999997,264.391748,-0.004583351006869193,2023-07-06 15:00:00,2023-07-06 16:00:00,0 days 01:00:00,ob
-236,521,523,1924.33,1928.6766071428572,1928.6766071428572,1901.0586428571428,-1207.6611975714509,181.86191185714287,-0.0026592156565068917,2023-07-07 15:00:00,2023-07-07 17:00:00,0 days 02:00:00,ob
-275,545,549,1922.96,1926.6469642857144,1926.6469642857144,1902.9367857142856,-1225.6435616071576,211.7283830357143,-0.0023177214703225244,2023-07-10 16:00:00,2023-07-10 20:00:00,0 days 04:00:00,ob
-404,670,671,1956.64,1959.12,1959.12,1929.2179999999998,-1318.3134079999154,316.393408,-0.0016677324392834697,2023-07-18 03:00:00,2023-07-18 04:00:00,0 days 01:00:00,ob
-261,814,818,1969.05,1971.46,1972.8392857142858,1953.4537142857143,-834.7046220000213,205.694622,-0.0016241852670069497,2023-07-26 09:00:00,2023-07-26 13:00:00,0 days 04:00:00,ob
161,906,912,1955.95,1949.8617857142856,1949.8617857142856,1981.8267142857144,-1105.9696395000276,125.76713950000001,-0.003512041025004346,2023-08-01 09:00:00,2023-08-01 15:00:00,0 days 06:00:00,ob
311,1002,1022,1933.43,1930.32,1930.32,1971.9940000000001,-1207.5352500000397,240.32525,-0.0020082185545895934,2023-08-07 13:00:00,2023-08-08 10:00:00,0 days 21:00:00,ob
183,1024,1026,1935.13,1929.8941071428571,1929.8941071428571,1954.5816428571427,-1099.6282751785923,141.45988232142858,-0.00310516486157087,2023-08-08 12:00:00,2023-08-08 14:00:00,0 days 02:00:00,sweep
-459,1115,1119,1914.5,1910.2932142857142,1916.5430357142857,1910.2932142857142,1579.7986257857733,351.1160170714286,0.001797768122971431,2023-08-14 11:00:00,2023-08-14 15:00:00,0 days 04:00:00,sweep
-284,1189,1191,1903.26,1889.8664999999999,1906.64625,1889.8664999999999,3588.304414800037,215.4495852,0.006638543709214737,2023-08-17 16:00:00,2023-08-17 18:00:00,0 days 02:00:00,ob
-146,1212,1223,1896.31,1885.2828571428572,1903.1171428571429,1885.2828571428572,1499.540345714268,110.42251142857144,0.005416215853797231,2023-08-18 16:00:00,2023-08-21 04:00:00,2 days 12:00:00,ob
261,1236,1281,1889.63,1911.2305000000001,1885.75125,1911.2305000000001,5439.325581900003,198.40491810000003,0.011028787593338425,2023-08-21 17:00:00,2023-08-23 16:00:00,1 days 23:00:00,ob
334,1302,1303,1916.97,1913.7785714285715,1913.7785714285715,1922.8114285714285,-1321.8311474285674,255.89400457142858,-0.002064496724369284,2023-08-24 14:00:00,2023-08-24 15:00:00,0 days 01:00:00,ob
265,1304,1305,1915.17,1922.7789285714287,1911.1673214285713,1922.7789285714287,1812.9547782142874,203.4112932142857,0.0035721835584905186,2023-08-24 16:00:00,2023-08-24 17:00:00,0 days 01:00:00,sweep
420,1328,1332,1904.64,1912.36,1902.0882142857142,1923.0992857142858,2921.771999999916,320.62800000000004,0.003652448756720296,2023-08-25 17:00:00,2023-08-25 21:00:00,0 days 04:00:00,ob
-461,1344,1350,1915.98,1918.3473214285714,1918.3473214285714,1889.3249285714285,-1444.8601576071105,353.5249790357143,-0.0016358139922426074,2023-08-28 10:00:00,2023-08-28 16:00:00,0 days 06:00:00,sweep
162,1444,1447,1940.1,1941.19,1933.440892857143,1952.6363571428572,50.82620400002355,125.75379600000002,0.00016171434462141612,2023-09-01 18:00:00,2023-09-01 21:00:00,0 days 03:00:00,sweep
-660,1459,1545,1945.1,1925.97,1946.7467857142856,1914.6267142857143,12114.818759999924,510.98123999999996,0.009436936918410337,2023-09-04 10:00:00,2023-09-08 06:00:00,3 days 20:00:00,sweep
495,1554,1558,1920.64,1918.1991071428572,1918.1991071428572,1946.071642857143,-1588.2870358928778,380.0450716071429,-0.0016706205632349117,2023-09-08 15:00:00,2023-09-08 19:00:00,0 days 04:00:00,ob
-523,1739,1739,1932.2,1934.4919642857142,1934.4919642857142,1901.2007857142858,-1603.1533008927756,404.45597946428575,-0.0015864313624735726,2023-09-20 16:00:00,2023-09-20 16:00:00,0 days 00:00:00,sweep
-978,1779,1779,1925.54,1926.5139285714286,1926.5139285714286,1914.0855714285715,-1705.9638912857295,753.4617484285715,-0.0009058961938691167,2023-09-22 10:00:00,2023-09-22 10:00:00,0 days 00:00:00,sweep
-467,1781,1820,1926.95,1914.0812857142857,1929.4332142857143,1914.0812857142857,5650.9372493428655,358.75232208571435,0.0062796170261664366,2023-09-22 12:00:00,2023-09-26 05:00:00,3 days 17:00:00,ob
-407,1900,1902,1874.59,1857.957642857143,1877.574107142857,1857.957642857143,6465.5399790142355,303.8293781285714,0.008474305109002865,2023-09-29 16:00:00,2023-09-29 18:00:00,0 days 02:00:00,ob
-367,2016,2017,1831.03,1834.5158928571427,1834.5158928571427,1815.6163571428572,-1548.3737471071013,269.0510685357143,-0.0023041687114433687,2023-10-06 17:00:00,2023-10-06 18:00:00,0 days 01:00:00,ob
-340,2294,2314,1975.71,1979.4241071428573,1979.4241071428573,1935.6336428571428,-1531.745547857197,268.94911928571435,-0.002280260748938705,2023-10-24 19:00:00,2023-10-25 16:00:00,0 days 21:00:00,ob
347,2338,2364,1971.97,1996.7685000000001,1968.36625,1996.7685000000001,8329.649048100036,275.4304519,0.012172980471305286,2023-10-26 17:00:00,2023-10-27 20:00:00,1 days 03:00:00,ob
216,2410,2412,1983.45,1984.6,1977.2776785714284,2008.9330714285716,76.98023999997054,171.41976,0.00017968186745315407,2023-10-31 19:00:00,2023-10-31 21:00:00,0 days 02:00:00,ob
-128,2474,2477,1994.58,1994.49,2004.9873214285715,1971.9969285714287,-90.60019200001048,102.120192,-0.0003548686941611866,2023-11-03 14:00:00,2023-11-03 17:00:00,0 days 03:00:00,ob
220,2483,2487,1989.23,1983.1707142857142,1983.1707142857142,2007.3942857142858,-1507.8284885714488,174.78563142857143,-0.003445436604687714,2023-11-06 01:00:00,2023-11-06 05:00:00,0 days 04:00:00,ob
377,2493,2499,1985.74,1982.249642857143,1982.249642857143,2007.5618571428572,-1615.0510619285044,299.1864190714286,-0.0021573595090134423,2023-11-06 11:00:00,2023-11-06 17:00:00,0 days 06:00:00,ob
294,2501,2504,1983.5,1979.0589285714286,1979.0589285714286,2007.5735714285715,-1538.6734649999848,232.998465,-0.0026385597248730136,2023-11-06 19:00:00,2023-11-06 22:00:00,0 days 03:00:00,sweep
-352,2635,2636,1957.67,1961.32375,1961.32375,1933.3935,-1562.0171599999808,275.89716,-0.002266750141750193,2023-11-14 15:00:00,2023-11-14 16:00:00,0 days 01:00:00,ob
465,2704,2705,1984.67,1981.9391071428572,1981.9391071428572,1993.0756428571428,-1638.7598255357168,368.89464696428576,-0.001775718219437711,2023-11-17 15:00:00,2023-11-17 16:00:00,0 days 01:00:00,ob
278,2727,2729,1965.61,1970.11,1961.1001785714286,1992.9800714285714,1032.173968,218.826032,0.0018889077690896006,2023-11-20 15:00:00,2023-11-20 17:00:00,0 days 02:00:00,ob
-433,2791,2817,1996.31,1999.2821428571428,1999.2821428571428,1965.7048571428572,-1632.9561367143037,346.0182795714286,-0.0018891160619915839,2023-11-23 10:00:00,2023-11-24 15:00:00,1 days 05:00:00,sweep
436,2930,2931,2036.67,2051.6085,2033.80625,2051.6085,6156.68811479989,356.4978852,0.006933300092798371,2023-12-01 16:00:00,2023-12-01 17:00:00,0 days 01:00:00,ob
558,3023,3025,2026.4,2024.0728571428572,2024.0728571428572,2144.3191428571427,-1750.5784851428905,452.03277085714285,-0.00154818270261132,2023-12-07 17:00:00,2023-12-07 19:00:00,0 days 02:00:00,sweep
443,3039,3044,2028.94,2026.0255357142855,2026.0255357142855,2120.112214285714,-1650.3776250358223,359.2699464642857,-0.0018361594689135,2023-12-08 10:00:00,2023-12-08 15:00:00,0 days 05:00:00,ob
-294,3090,3106,1996.43,1976.1212142857144,2000.7730357142857,1976.1212142857144,5737.196988599998,233.58601140000002,0.00977458537060076,2023-12-12 15:00:00,2023-12-13 08:00:00,0 days 17:00:00,ob
-412,3113,3119,1985.93,1989.1671428571428,1989.1671428571428,1973.2908571428572,-1661.2508617142503,327.5480045714286,-0.0020303647589362955,2023-12-13 15:00:00,2023-12-13 21:00:00,0 days 06:00:00,ob
-170,3186,3206,2031.88,2039.598392857143,2039.598392857143,1973.427357142857,-1450.5570510714217,138.43026535714284,-0.004199405740355881,2023-12-18 19:00:00,2023-12-19 16:00:00,0 days 21:00:00,ob
180,3349,3363,2070.36,2063.13,2063.13,2088.05,-1450.2056400000033,148.80564000000004,-0.0038914478641395443,2023-12-28 21:00:00,2023-12-29 12:00:00,0 days 15:00:00,ob
335,3364,3366,2064.74,2060.9414285714283,2060.9414285714283,2088.1985714285715,-1548.9420842857212,276.42065571428566,-0.002239365592900724,2023-12-29 13:00:00,2023-12-29 15:00:00,0 days 02:00:00,sweep
557,3390,3391,2063.62,2061.334464285714,2061.334464285714,2088.111785714286,-1732.5633201785872,459.51992732142855,-0.0015073155945100698,2024-01-02 16:00:00,2024-01-02 17:00:00,0 days 01:00:00,ob
147,3393,3408,2066.05,2057.529642857143,2057.529642857143,2087.9138571428575,-1373.7257415000367,121.23324150000002,-0.004523159203034191,2024-01-02 19:00:00,2024-01-03 11:00:00,0 days 16:00:00,sweep
